
############ Experiment A — Balanced / FIFO ############
Params {
    workers: 8,
    total_tasks: 1000,
    arrival_interval_ms: 20,
    task_duration_ms: 200,
    io_probability: 0.7,
    cpu_budget: 100,
    monitor_tick_ms: 10,
    rng_seed: 42,
    policy: Fifo,
    workload: Balanced,
}
[monitor  2279ms] active 8/8 | cpu 80% | queue 42 | total 1000
[monitor  2290ms] active 8/8 | cpu 80% | queue 43 | total 1000
[monitor  2301ms] active 8/8 | cpu 80% | queue 43 | total 1000
[monitor  2312ms] active 8/8 | cpu 80% | queue 44 | total 1000
[monitor  2323ms] active 8/8 | cpu 80% | queue 45 | total 1000
[monitor  2334ms] active 8/8 | cpu 80% | queue 45 | total 1000
[monitor  2345ms] active 8/8 | cpu 80% | queue 46 | total 1000
[monitor  2356ms] active 8/8 | cpu 80% | queue 46 | total 1000
[monitor  2368ms] active 8/8 | cpu 80% | queue 47 | total 1000
[monitor  2379ms] active 8/8 | cpu 80% | queue 47 | total 1000
[monitor  2390ms] active 8/8 | cpu 80% | queue 48 | total 1000
[monitor  2401ms] active 8/8 | cpu 80% | queue 48 | total 1000
[monitor  2413ms] active 8/8 | cpu 80% | queue 49 | total 1000
[monitor  2424ms] active 8/8 | cpu 80% | queue 49 | total 1000
[monitor  2435ms] active 8/8 | cpu 80% | queue 50 | total 1000
[monitor  2446ms] active 8/8 | cpu 80% | queue 51 | total 1000
[monitor  2457ms] active 6/8 | cpu 85% | queue 45 | total 1000
[monitor  2469ms] active 6/8 | cpu 85% | queue 46 | total 1000
[monitor  2480ms] active 6/8 | cpu 85% | queue 46 | total 1000
[monitor  2491ms] active 6/8 | cpu 85% | queue 47 | total 1000
[monitor  2502ms] active 6/8 | cpu 85% | queue 47 | total 1000
[monitor  2540ms] active 6/8 | cpu 85% | queue 49 | total 1000
[monitor  2551ms] active 6/8 | cpu 85% | queue 50 | total 1000
[monitor  2563ms] active 6/8 | cpu 85% | queue 50 | total 1000
[monitor  2574ms] active 6/8 | cpu 85% | queue 51 | total 1000
[monitor  2585ms] active 6/8 | cpu 85% | queue 51 | total 1000
[monitor  2596ms] active 6/8 | cpu 85% | queue 52 | total 1000
[monitor  2608ms] active 6/8 | cpu 85% | queue 53 | total 1000
[monitor  2619ms] active 6/8 | cpu 85% | queue 53 | total 1000
[monitor  2630ms] active 6/8 | cpu 85% | queue 54 | total 1000
[monitor  2641ms] active 6/8 | cpu 85% | queue 54 | total 1000
[monitor  2651ms] active 5/8 | cpu 100% | queue 50 | total 1000
[monitor  2662ms] active 5/8 | cpu 100% | queue 50 | total 1000
[monitor  2674ms] active 5/8 | cpu 100% | queue 51 | total 1000
[monitor  2685ms] active 5/8 | cpu 100% | queue 51 | total 1000
[monitor  2696ms] active 5/8 | cpu 100% | queue 52 | total 1000
[monitor  2706ms] active 5/8 | cpu 100% | queue 52 | total 1000
[monitor  2717ms] active 5/8 | cpu 100% | queue 53 | total 1000
[monitor  2728ms] active 5/8 | cpu 100% | queue 53 | total 1000
[monitor  2739ms] active 5/8 | cpu 100% | queue 54 | total 1000
[monitor  2750ms] active 5/8 | cpu 100% | queue 55 | total 1000
[monitor  2766ms] active 5/8 | cpu 100% | queue 55 | total 1000
[monitor  2777ms] active 5/8 | cpu 100% | queue 56 | total 1000
[monitor  2789ms] active 5/8 | cpu 100% | queue 56 | total 1000
[monitor  2800ms] active 5/8 | cpu 100% | queue 57 | total 1000
[monitor  2811ms] active 5/8 | cpu 100% | queue 58 | total 1000
[monitor  2822ms] active 5/8 | cpu 100% | queue 58 | total 1000
[monitor  2833ms] active 5/8 | cpu 100% | queue 59 | total 1000
[monitor  2844ms] active 5/8 | cpu 100% | queue 59 | total 1000
[monitor  2855ms] active 7/8 | cpu 95% | queue 53 | total 1000
[monitor  2866ms] active 7/8 | cpu 95% | queue 53 | total 1000
[monitor  2878ms] active 7/8 | cpu 95% | queue 54 | total 1000
[monitor  2889ms] active 7/8 | cpu 95% | queue 54 | total 1000
[monitor  2900ms] active 7/8 | cpu 95% | queue 55 | total 1000
[monitor  2912ms] active 7/8 | cpu 95% | queue 55 | total 1000
[monitor  2922ms] active 7/8 | cpu 95% | queue 56 | total 1000
[monitor  2933ms] active 7/8 | cpu 95% | queue 57 | total 1000
[monitor  2944ms] active 7/8 | cpu 95% | queue 57 | total 1000
[monitor  2955ms] active 7/8 | cpu 95% | queue 58 | total 1000
[monitor  2966ms] active 7/8 | cpu 95% | queue 58 | total 1000
[monitor  2977ms] active 7/8 | cpu 95% | queue 59 | total 1000
[monitor  2988ms] active 7/8 | cpu 95% | queue 59 | total 1000
[monitor  3020ms] active 7/8 | cpu 95% | queue 61 | total 1000
[monitor  3031ms] active 7/8 | cpu 95% | queue 61 | total 1000
[monitor  3042ms] active 7/8 | cpu 95% | queue 62 | total 1000
[monitor  3053ms] active 3/8 | cpu 80% | queue 59 | total 1000
[monitor  3064ms] active 3/8 | cpu 80% | queue 60 | total 1000
[monitor  3075ms] active 3/8 | cpu 80% | queue 61 | total 1000
[monitor  3087ms] active 3/8 | cpu 80% | queue 61 | total 1000
[monitor  3098ms] active 3/8 | cpu 80% | queue 62 | total 1000
[monitor  3109ms] active 3/8 | cpu 80% | queue 62 | total 1000
[monitor  3121ms] active 3/8 | cpu 80% | queue 63 | total 1000
[monitor  3132ms] active 3/8 | cpu 80% | queue 63 | total 1000
[monitor  3144ms] active 3/8 | cpu 80% | queue 64 | total 1000
[monitor  3155ms] active 3/8 | cpu 80% | queue 64 | total 1000
[monitor  3166ms] active 3/8 | cpu 80% | queue 65 | total 1000
[monitor  3177ms] active 3/8 | cpu 80% | queue 65 | total 1000
[monitor  3188ms] active 3/8 | cpu 80% | queue 66 | total 1000
[monitor  3199ms] active 3/8 | cpu 80% | queue 67 | total 1000
[monitor  3210ms] active 3/8 | cpu 80% | queue 67 | total 1000
[monitor  3221ms] active 3/8 | cpu 80% | queue 68 | total 1000
[monitor  3249ms] active 3/8 | cpu 80% | queue 69 | total 1000
[monitor  3261ms] active 3/8 | cpu 80% | queue 67 | total 1000
[monitor  3277ms] active 3/8 | cpu 80% | queue 67 | total 1000
[monitor  3291ms] active 3/8 | cpu 80% | queue 68 | total 1000
[monitor  3302ms] active 3/8 | cpu 80% | queue 69 | total 1000
[monitor  3314ms] active 3/8 | cpu 80% | queue 69 | total 1000
[monitor  3325ms] active 3/8 | cpu 80% | queue 70 | total 1000
[monitor  3337ms] active 3/8 | cpu 80% | queue 70 | total 1000
[monitor  3348ms] active 3/8 | cpu 80% | queue 71 | total 1000
[monitor  3360ms] active 3/8 | cpu 80% | queue 71 | total 1000
[monitor  3372ms] active 3/8 | cpu 80% | queue 72 | total 1000
[monitor  3383ms] active 3/8 | cpu 80% | queue 73 | total 1000
[monitor  3394ms] active 3/8 | cpu 80% | queue 73 | total 1000
[monitor  3405ms] active 3/8 | cpu 80% | queue 74 | total 1000
[monitor  3417ms] active 3/8 | cpu 80% | queue 74 | total 1000
[monitor  3428ms] active 3/8 | cpu 80% | queue 75 | total 1000
[monitor  3440ms] active 3/8 | cpu 80% | queue 75 | total 1000
[monitor  3451ms] active 3/8 | cpu 80% | queue 76 | total 1000
[monitor  3462ms] active 4/8 | cpu 90% | queue 72 | total 1000
[monitor  3473ms] active 4/8 | cpu 90% | queue 73 | total 1000
[monitor  3485ms] active 4/8 | cpu 90% | queue 74 | total 1000
[monitor  3496ms] active 4/8 | cpu 90% | queue 74 | total 1000
[monitor  3507ms] active 4/8 | cpu 90% | queue 75 | total 1000
[monitor  3518ms] active 4/8 | cpu 90% | queue 75 | total 1000
[monitor  3529ms] active 4/8 | cpu 90% | queue 76 | total 1000
[monitor  3540ms] active 4/8 | cpu 90% | queue 76 | total 1000
[monitor  3551ms] active 4/8 | cpu 90% | queue 77 | total 1000
[monitor  3562ms] active 4/8 | cpu 90% | queue 77 | total 1000
[monitor  3573ms] active 4/8 | cpu 90% | queue 78 | total 1000
[monitor  3584ms] active 4/8 | cpu 90% | queue 78 | total 1000
[monitor  3595ms] active 4/8 | cpu 90% | queue 79 | total 1000
[monitor  3622ms] active 4/8 | cpu 90% | queue 80 | total 1000
[monitor  3637ms] active 4/8 | cpu 90% | queue 81 | total 1000
[monitor  3649ms] active 4/8 | cpu 90% | queue 82 | total 1000
[monitor  3662ms] active 5/8 | cpu 100% | queue 77 | total 1000
[monitor  3673ms] active 5/8 | cpu 100% | queue 78 | total 1000
[monitor  3685ms] active 5/8 | cpu 100% | queue 78 | total 1000
[monitor  3696ms] active 5/8 | cpu 100% | queue 79 | total 1000
[monitor  3707ms] active 5/8 | cpu 100% | queue 79 | total 1000
[monitor  3718ms] active 5/8 | cpu 100% | queue 80 | total 1000
[monitor  3729ms] active 5/8 | cpu 100% | queue 81 | total 1000
[monitor  3741ms] active 5/8 | cpu 100% | queue 81 | total 1000
[monitor  3752ms] active 5/8 | cpu 100% | queue 82 | total 1000
[monitor  3763ms] active 5/8 | cpu 100% | queue 82 | total 1000
[monitor  3774ms] active 5/8 | cpu 100% | queue 83 | total 1000
[monitor  3785ms] active 5/8 | cpu 100% | queue 83 | total 1000
[monitor  3796ms] active 5/8 | cpu 100% | queue 84 | total 1000
[monitor  3808ms] active 5/8 | cpu 100% | queue 84 | total 1000
[monitor  3839ms] active 5/8 | cpu 100% | queue 86 | total 1000
[monitor  3850ms] active 5/8 | cpu 100% | queue 87 | total 1000
[monitor  3860ms] active 5/8 | cpu 100% | queue 82 | total 1000
[monitor  3875ms] active 5/8 | cpu 100% | queue 83 | total 1000
[monitor  3890ms] active 5/8 | cpu 100% | queue 83 | total 1000
[monitor  3901ms] active 5/8 | cpu 100% | queue 84 | total 1000
[monitor  3912ms] active 5/8 | cpu 100% | queue 85 | total 1000
[monitor  3923ms] active 5/8 | cpu 100% | queue 85 | total 1000
[monitor  3934ms] active 5/8 | cpu 100% | queue 86 | total 1000
[monitor  3944ms] active 5/8 | cpu 100% | queue 86 | total 1000
[monitor  3955ms] active 5/8 | cpu 100% | queue 87 | total 1000
[monitor  3966ms] active 5/8 | cpu 100% | queue 87 | total 1000
[monitor  3977ms] active 5/8 | cpu 100% | queue 88 | total 1000
[monitor  3987ms] active 5/8 | cpu 100% | queue 88 | total 1000
[monitor  3998ms] active 5/8 | cpu 100% | queue 89 | total 1000
[monitor  4008ms] active 5/8 | cpu 100% | queue 89 | total 1000
